Year,Month,Coal,Petroleum,Coke,Natural gas,Electricity
2016,1,57,7,8,73779,14716
2016,2,52,5,5,59625,13465
2016,3,56,6,5,48669,14169
2016,4,52,7,7,46318,14043
2016,5,55,46,9,49568,15123
2016,6,54,34,8,74190,18915
2016,7,57,39,6,85995,21095
2016,8,49,11,7,94082,21240
2016,9,55,26,7,77452,17988
2016,10,56,13,8,76493,16865
2016,11,55,6,7,60447,13875
2016,12,57,12,7,66927,15470
2017,1,58,8,0,67560,16944
2017,2,51,18,0,51191,14062
2017,3,56,7,0,44686,15461
2017,4,43,7,0,39744,15031
2017,5,40,7,0,49018,17174
2017,6,56,7,0,63568,18890
2017,7,48,6,0,82689,21553
2017,8,53,7,0,94325,22610
2017,9,55,13,0,78082,18825
2017,10,57,8,0,73745,16799
2017,11,56,6,0,62946,14209
2017,12,58,7,0,66219,14589
2018,1,58,5,0,59364,13693
2018,2,52,21,0,52461,12702
2018,3,55,6,0,55983,14039
2018,4,52,5,0,43324,14811
2018,5,56,15,0,40561,15932
2018,6,55,10,0,53064,17514
2018,7,56,60,0,95200,22356
2018,8,58,8,0,87605,20994
2018,9,56,6,0,66896,17592
2018,10,45,7,0,73389,16864
2018,11,45,5,0,66449,14605
2018,12,49,9,0,66140,14364
2019,1,54,6,0,62327,14124
2019,2,50,10,0,58074,14225
2019,3,56,7,0,51041,16547
2019,4,56,21,0,37551,16204
2019,5,49,6,0,34561,16254
2019,6,56,6,0,44389,17939
2019,7,7,7,0,68013,20917
2019,8,0,8,0,80415,21776
2019,9,31,6,0,70596,18269
2019,10,56,19,0,68876,16452
2019,11,54,7,0,68406,14351
2019,12,56,8,0,69160,14725
2020,1,48,9,0,56322,13894
2020,2,52,6,0,50019,13110
2020,3,48,7,0,55464,14502
2020,4,45,5,0,41080,13976
2020,5,49,7,0,39886,15397
2020,6,43,7,0,52891,17161
2020,7,51,10,0,73286,20094
2020,8,49,14,0,94206,21896
2020,9,43,8,0,80245,17974
2020,10,52,8,0,81974,16703
2020,11,55,9,0,63999,13983
2020,12,55,6,0,70089,14384
2021,1,38,7,0,57254,13498
2021,2,52,66,0,49151,12299
2021,3,58,10,0,52543,14281
2021,4,53,7,0,49082,14763
2021,5,54,16,0,50382,16298
2021,6,54,7,0,70274,18456
2021,7,53,8,0,95711,21896
2021,8,55,8,0,86407,20622
2021,9,54,6,0,72826,18069